128,0,128,purple
147,0,147,purple
138,43,226,purple
160,32,240,purple
155,48,255,purple
148,0,211,purple
153,50,204,purple
186,85,211,purple
150,51,252,purple
154,23,242,purple
134,0,122,purple
128,5,132,purple
143,2,207,purple
255,192,203,pink
255,182,193,pink
255,105,180,pink
255,20,147,pink
219,112,147,pink
255,160,122,pink
255,218,185,pink
249,161,120,pink
255,215,189,pink
252,150,119,pink
252,185,206,pink
252,195,202,pink
165,42,42,brown
139,69,19,brown
160,82,45,brown
128,64,0,brown
210,105,30,brown
205,133,63,brown
222,184,135,brown
135,66,1,brown
152,82,48,brown
164,74,41,brown
215,108,28,brown
160,37,37,brown
128,128,128,gray
169,169,169,gray
192,192,192,gray
211,211,211,gray
220,220,220,gray
190,190,190,gray
127,131,122,gray
128,119,119,gray
161,168,162,gray
191,192,199,gray
227,223,227,gray
0,255,255,cyan
224,255,255,cyan
0,206,209,cyan
64,224,208,cyan
72,209,204,cyan
175,238,238,cyan
72,230,208,cyan
63,218,209,cyan
0,215,206,cyan
177,244,237,cyan
0,201,214,cyan
120,0,0,red
100,0,0,red
180,20,20,red
200,40,40,red
230,50,50,red
197,36,43,red
117,1,0,red
180,18,21,red
105,0,5,red
121,9,3,red
0,100,0,green
0,130,0,green
50,205,50,green
34,139,34,green
144,238,144,green
51,195,57,green
29,135,36,green
43,210,57,green
0,128,2,green
139,238,134,green
0,0,139,blue
25,25,112,blue
65,105,225,blue
100,149,237,blue
135,206,235,blue
34,21,115,blue
25,28,103,blue
0,7,141,blue
63,105,215,blue
132,199,237,blue
204,204,0,yellow
218,165,32,yellow
240,230,140,yellow
255,215,0,yellow
238,232,170,yellow
242,240,162,yellow
222,164,22,yellow
222,163,22,yellow
255,223,0,yellow
236,224,148,yellow
210,105,30,orange
255,140,0,orange
255,165,0,orange
255,69,0,orange
255,99,71,orange
250,91,73,orange
246,74,0,orange
254,92,70,orange
219,107,32,orange
255,169,4,orange
255,255,255,white
255,255,255,white
247,255,250,white
246,255,255,white
250,248,255,white
246,255,255,white
127,51,214,purple
143,0,111,purple
145,0,194,purple
143,10,154,purple
147,16,250,purple
170,40,243,purple
131,40,219,purple
142,0,123,purple
158,0,205,purple
145,0,123,purple
210,120,141,pink
251,174,217,pink
255,145,117,pink
255,163,110,pink
255,210,183,pink
255,223,184,pink
255,165,119,pink
249,15,147,pink
255,189,207,pink
255,32,138,pink
154,53,37,brown
156,77,45,brown
214,115,18,brown
201,106,31,brown
210,184,138,brown
130,69,7,brown
203,121,56,brown
139,57,0,brown
154,69,54,brown
204,120,57,brown
151,172,162,gray
124,131,121,gray
126,126,117,gray
120,116,128,gray
124,130,122,gray
183,204,181,gray
173,170,164,gray
239,228,223,gray
189,178,190,gray
186,202,197,gray
187,251,224,cyan
61,216,209,cyan
225,255,255,cyan
9,204,212,cyan
0,226,209,cyan
0,211,215,cyan
169,243,228,cyan
0,210,214,cyan
71,201,191,cyan
164,232,239,cyan
179,13,12,red
218,62,46,red
99,8,7,red
109,16,0,red
122,16,14,red
104,2,0,red
176,27,12,red
172,13,29,red
181,28,11,red
179,16,22,red
141,247,128,green
0,141,0,green
43,213,57,green
0,119,0,green
9,105,0,green
50,190,66,green
23,132,26,green
60,197,48,green
46,201,66,green
55,189,48,green
0,0,151,blue
144,209,241,blue
63,107,221,blue
0,0,130,blue
129,204,224,blue
65,104,224,blue
36,19,97,blue
0,5,150,blue
33,11,122,blue
121,194,238,blue
234,172,32,yellow
254,221,1,yellow
255,206,0,yellow
206,171,29,yellow
239,233,163,yellow
232,225,181,yellow
211,171,31,yellow
232,216,156,yellow
219,170,22,yellow
222,160,18,yellow
216,116,42,orange
255,155,0,orange
255,158,0,orange
242,68,0,orange
242,72,10,orange
253,84,71,orange
255,128,0,orange
252,171,0,orange
255,61,7,orange
255,103,62,orange
247,255,246,white
244,246,250,white
255,255,255,white
255,255,255,white
241,255,242,white
255,238,255,white
234,250,238,white
244,255,254,white
255,255,243,white
255,255,246,white
